chunk_id,author,а,больше,будет,будут,бы,была,были,было,быть,в,во,вопрос,вопроса,вот,вполне,время,все,всегда,всего,всем,где,говорит,говорить,гораздо,деле,дело,для,должен,должна,должно,должны,других,его,ее,ему,если,есть,еще,же,жизни,жизнь,за,значит,и,идет,из,или,им,их,к,как,классов,когда,конечно,которая,которой,которую,которые,которых,кто,лет,лишь,мало,между,меня,мне,много,могут,может,можно,мысли,мысль,на,над,надо,не,него,нельзя,необходимо,нет,ни,нибудь,ним,них,ничего,но,нужно,о,об,образом,один,одно,одного,одной,он,она,они,организации,от,отношении,очень,перед,по,под,при,раз,с,самой,самом,свое,своего,своей,свои,своим,своих,свою,себе,себя,сказать,собой,совершенно,так,также,таким,там,тем,теории,то,того,той,только,том,тому,тот,тут,у,чем,через,что,чтобы,эта,эти,этим,это,этого,этой,этом,этому,эту,я,без,ведь,до,значение,имеет,именно,какой,которого,ли,либо,люди,менее,общества,оно,потому,почему,поэтому,право,самого,собою,совсем,таких,те,тех,уже,этих,является,более,всех,г,д,движение,движения,демократии,другой,искры,класса,который,кроме,людей,могли,момент,нашей,партии,партия,пор,после,против,рабочего,рабочие,развития,сделать,сил,социал,среди,стороны,съезда,т,борьба,борьбе,борьбу,борьбы,власти,вместе,даже,демократической,зрения,крестьян,наиболее,народа,прежде,рабочий,рабочих,революционной,россии,русской,силу,силы,со,страны,съезд,такой,теперь,тогда,точки,труда,был,вообще,всей,да,действительно,здесь,мог,особенно,почти,сам,хотя,времени,дела,которое,несколько,положение,случае,этот,вы,мы,нас,е,ибо,общество,своем,смысле,характер,нам,слова,такое,года,ей,наконец,народ,ней,пока,пролетариата,свой,однако,производства,буржуазии,власть,права,правительство,политической,свободы,правительства,массы,политических,политического,революции,революционного,революция,снова,съезде,тов,масс,демократия,пролетариат,войны,ленин,буржуазия,маркса,её
krupskaya_k_voposu_o_shkole.txt_chunk1,krupskaya,3,4,1,4,4,1,2,2,3,28,1,1,1,1,2,1,2,1,1,1,3,1,1,3,4,4,3,5,1,1,1,1,9,2,3,8,1,3,3,3,3,1,1,34,1,2,3,4,2,6,5,1,2,4,2,2,2,1,1,3,1,3,1,3,1,1,4,1,3,1,1,2,10,1,2,20,3,1,1,1,1,4,1,4,1,8,1,10,1,2,1,2,1,2,15,1,3,2,4,2,4,1,5,1,1,1,9,1,1,1,1,1,1,3,2,2,2,2,1,2,2,2,1,1,1,3,1,6,3,3,2,2,1,2,3,2,3,1,10,6,3,1,1,6,2,5,2,2,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
krupskaya_k_voposu_o_shkole.txt_chunk2,krupskaya,3.5046728971962615,0,7.009345794392523,3.5046728971962615,2.336448598130841,0,0,0,5.841121495327102,35.046728971962615,1.1682242990654206,0,0,1.1682242990654206,0,2.336448598130841,7.009345794392523,0,0,0,3.5046728971962615,0,0,3.5046728971962615,0,3.5046728971962615,1.1682242990654206,3.5046728971962615,0,0,2.336448598130841,1.1682242990654206,1.1682242990654206,1.1682242990654206,0,2.336448598130841,0,1.1682242990654206,3.5046728971962615,0,2.336448598130841,1.1682242990654206,0,37.38317757009346,0,3.5046728971962615,3.5046728971962615,2.336448598130841,15.186915887850468,15.186915887850468,8.177570093457943,0,0,2.336448598130841,1.1682242990654206,2.336448598130841,0,1.1682242990654206,1.1682242990654206,1.1682242990654206,0,3.5046728971962615,0,2.336448598130841,0,0,0,0,3.5046728971962615,1.1682242990654206,0,0,10.514018691588785,1.1682242990654206,3.5046728971962615,8.177570093457943,0,1.1682242990654206,1.1682242990654206,0,0,2.336448598130841,1.1682242990654206,2.336448598130841,0,3.5046728971962615,1.1682242990654206,2.336448598130841,0,1.1682242990654206,1.1682242990654206,0,0,0,5.841121495327102,7.009345794392523,4.672897196261682,2.336448598130841,1.1682242990654206,4.672897196261682,4.672897196261682,0,5.841121495327102,0,3.5046728971962615,1.1682242990654206,11.682242990654204,1.1682242990654206,0,0,1.1682242990654206,0,1.1682242990654206,1.1682242990654206,1.1682242990654206,0,2.336448598130841,1.1682242990654206,0,2.336448598130841,0,1.1682242990654206,1.1682242990654206,1.1682242990654206,0,1.1682242990654206,0,5.841121495327102,3.5046728971962615,0,3.5046728971962615,0,1.1682242990654206,0,1.1682242990654206,2.336448598130841,2.336448598130841,0,7.009345794392523,3.5046728971962615,1.1682242990654206,0,0,12.850467289719626,1.1682242990654206,2.336448598130841,3.5046728971962615,1.1682242990654206,1.1682242990654206,1.1682242990654206,1.1682242990654206,1.1682242990654206,1.1682242990654206,3.5046728971962615,1.1682242990654206,1.1682242990654206,1.1682242990654206,1.1682242990654206,1.1682242990654206,2.336448598130841,1.1682242990654206,1.1682242990654206,1.1682242990654206,1.1682242990654206,2.336448598130841,1.1682242990654206,1.1682242990654206,1.1682242990654206,2.336448598130841,1.1682242990654206,1.1682242990654206,1.1682242990654206,1.1682242990654206,1.1682242990654206,2.336448598130841,2.336448598130841,2.336448598130841,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
krupskaya_merged__iskre.txt_hihsya.txt_chenie.txt,krupskaya,7.278020378457059,0,5.822416302765648,0,8.73362445414847,1.455604075691412,0,1.455604075691412,2.911208151382824,26.200873362445414,1.455604075691412,0,4.366812227074235,0,0,1.455604075691412,5.822416302765648,0,1.455604075691412,0,0,0,0,1.455604075691412,0,2.911208151382824,1.455604075691412,0,1.455604075691412,0,0,0,1.455604075691412,8.73362445414847,0,1.455604075691412,1.455604075691412,1.455604075691412,2.911208151382824,1.455604075691412,0,5.822416302765648,0,36.390101892285294,8.73362445414847,4.366812227074235,0,4.366812227074235,2.911208151382824,8.73362445414847,14.556040756914118,0,1.455604075691412,4.366812227074235,0,0,2.911208151382824,0,0,1.455604075691412,0,1.455604075691412,0,1.455604075691412,0,1.455604075691412,0,1.455604075691412,2.911208151382824,1.455604075691412,0,1.455604075691412,13.100436681222707,0,7.278020378457059,5.822416302765648,1.455604075691412,0,0,0,0,0,0,0,0,4.366812227074235,1.455604075691412,2.911208151382824,0,0,0,0,0,0,11.644832605531295,1.455604075691412,4.366812227074235,1.455604075691412,1.455604075691412,0,0,0,5.822416302765648,0,1.455604075691412,0,23.28966521106259,0,1.455604075691412,0,0,0,2.911208151382824,1.455604075691412,0,1.455604075691412,0,0,0,0,0,4.366812227074235,1.455604075691412,1.455604075691412,1.455604075691412,1.455604075691412,0,0,2.911208151382824,1.455604075691412,4.366812227074235,0,0,1.455604075691412,0,0,1.455604075691412,0,4.366812227074235,4.366812227074235,0,2.911208151382824,1.455604075691412,5.822416302765648,4.366812227074235,1.455604075691412,2.911208151382824,0,0,2.911208151382824,2.911208151382824,0,1.455604075691412,0,0,0,0,0,0,0,0,0,1.455604075691412,0,0,0,0,0,0,0,0,1.455604075691412,1.455604075691412,0,1.455604075691412,1.455604075691412,0,1.455604075691412,1.455604075691412,1.455604075691412,4.366812227074235,1.455604075691412,1.455604075691412,1.455604075691412,1.455604075691412,7.278020378457059,1.455604075691412,1.455604075691412,4.366812227074235,1.455604075691412,1.455604075691412,1.455604075691412,1.455604075691412,1.455604075691412,1.455604075691412,1.455604075691412,1.455604075691412,1.455604075691412,2.911208151382824,1.455604075691412,1.455604075691412,1.455604075691412,2.911208151382824,1.455604075691412,1.455604075691412,1.455604075691412,1.455604075691412,1.455604075691412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
krupskaya_o_staroy_iskre.txt_chunk1,krupskaya,2,2,2,1,8,5,2,2,0,34,1,0,0,0,0,1,6,0,3,0,0,0,0,0,1,0,3,2,0,0,1,0,1,3,1,4,1,1,1,0,0,12,0,20,0,6,0,0,2,7,5,0,1,0,5,0,1,1,0,0,2,0,0,0,0,0,0,0,1,0,0,0,10,0,2,16,0,1,1,0,0,0,2,1,0,4,0,5,1,0,0,0,0,0,6,6,5,1,1,1,0,0,7,0,1,0,22,0,0,0,0,3,0,1,0,0,1,2,0,0,2,0,0,0,1,0,0,1,0,1,2,6,0,0,1,1,1,0,9,1,1,0,0,0,2,1,0,0,2,0,3,0,1,1,0,2,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,2,0,2,2,0,11,6,0,0,0,0,0,0,5,0,0,2,1,8,0,0,0,0,4,0,0,0,0,2,1,10,9,1,3,1,2,2,2,3,1,3,4,10,1,7,1,1,2,1,3,2,1,1,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
krupskaya_samoubiystva_uchashihsya.txt_chunk1,krupskaya,8,0,0,2,2,0,3,2,0,45,1,3,0,1,0,4,2,0,1,1,0,1,2,0,0,0,3,1,0,0,0,0,4,5,2,3,0,2,4,5,4,5,0,28,2,3,5,0,6,5,9,0,3,3,1,0,0,0,1,0,0,5,1,0,0,0,0,0,2,0,0,0,15,1,3,26,2,2,1,1,1,1,0,2,0,5,0,7,1,0,2,0,0,0,2,3,1,0,2,2,0,0,7,0,0,0,12,0,0,0,0,0,0,0,0,0,5,2,2,0,4,8,0,0,0,1,1,9,1,1,5,4,0,0,0,1,1,0,23,5,0,1,1,5,0,1,2,0,0,0,0,2,3,0,0,0,1,0,2,2,1,0,0,0,4,4,0,0,0,0,0,1,0,0,0,0,0,3,1,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,1,0,1,1,1,1,1,1,1,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
krupskaya_samoubiystva_uchashihsya.txt_chunk2,krupskaya,7,0,4,0,3,0,0,0,12,28,2,0,0,0,0,1,6,1,1,0,1,1,1,0,1,1,1,9,2,2,0,1,9,1,6,0,0,0,1,6,4,3,0,35,0,1,4,1,4,10,5,0,1,1,2,0,0,1,0,1,1,2,2,3,0,0,0,1,4,0,1,0,10,1,6,14,3,0,1,1,1,1,0,1,0,8,1,9,1,0,0,2,1,0,12,3,2,1,5,2,0,0,4,1,2,1,21,1,0,0,1,0,3,0,3,0,5,1,0,1,2,3,1,0,0,4,0,3,2,1,8,1,2,1,0,2,0,0,7,7,0,0,3,7,2,1,4,0,0,0,0,2,0,0,1,0,2,0,0,1,0,2,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,1,0,0,1,0,5,0,0,0,0,0,0,0,0,0,0,1,2,2,0,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,1,1,0,1,1,2,2,1,1,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
krupskaya_shkolnie_kolonii.txt_chunk1,krupskaya,6.443298969072164,0,0,0,19.329896907216497,0,0,1.288659793814433,0,38.659793814432994,0,0,0,0,0,1.288659793814433,2.577319587628866,0,0,0,1.288659793814433,0,1.288659793814433,0,0,2.577319587628866,18.04123711340206,1.288659793814433,2.577319587628866,0,1.288659793814433,0,0,0,0,2.577319587628866,0,1.288659793814433,5.154639175257732,1.288659793814433,1.288659793814433,5.154639175257732,0,45.103092783505154,0,2.577319587628866,0,0,3.865979381443299,0,3.865979381443299,0,0,0,0,0,0,1.288659793814433,2.577319587628866,1.288659793814433,0,3.865979381443299,2.577319587628866,1.288659793814433,0,0,0,2.577319587628866,0,1.288659793814433,0,0,10.309278350515465,0,1.288659793814433,16.75257731958763,0,0,0,2.577319587628866,0,1.288659793814433,0,3.865979381443299,0,10.309278350515465,2.577319587628866,3.865979381443299,2.577319587628866,1.288659793814433,0,0,0,1.288659793814433,0,1.288659793814433,3.865979381443299,0,1.288659793814433,1.288659793814433,0,0,5.154639175257732,1.288659793814433,2.577319587628866,1.288659793814433,9.02061855670103,0,1.288659793814433,0,1.288659793814433,0,1.288659793814433,1.288659793814433,1.288659793814433,0,0,5.154639175257732,0,0,0,2.577319587628866,0,1.288659793814433,5.154639175257732,0,0,2.577319587628866,2.577319587628866,0,5.154639175257732,0,0,0,0,3.865979381443299,1.288659793814433,0,3.865979381443299,1.288659793814433,0,1.288659793814433,0,2.577319587628866,1.288659793814433,0,3.865979381443299,0,0,0,0,0,2.577319587628866,0,0,0,0,0,3.865979381443299,0,1.288659793814433,0,1.288659793814433,2.577319587628866,1.288659793814433,0,0,0,0,0,1.288659793814433,2.577319587628866,0,0,1.288659793814433,0,0,1.288659793814433,1.288659793814433,0,1.288659793814433,0,0,0,1.288659793814433,0,0,1.288659793814433,0,1.288659793814433,0,0,0,0,0,1.288659793814433,0,0,2.577319587628866,0,0,0,0,0,3.865979381443299,2.577319587628866,0,2.577319587628866,0,1.288659793814433,0,0,0,0,2.577319587628866,0,0,0,0,0,0,0,1.288659793814433,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.154639175257732,0,0,2.577319587628866,0,5.154639175257732,0,0,0,1.288659793814433,0,0,0,3.865979381443299,2.577319587628866,2.577319587628866,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
krupskaya_sovmestnoe_obuchenie.txt_chunk1,krupskaya,5,1,3,1,1,0,0,1,3,26,0,12,2,2,0,0,1,1,3,0,2,2,2,0,1,1,2,0,1,0,1,0,4,1,1,3,1,0,2,2,3,1,2,43,2,1,5,0,3,7,7,0,2,2,0,0,2,1,0,0,0,1,0,12,0,0,0,1,5,0,0,1,23,0,5,14,0,1,1,0,0,2,0,2,0,0,0,9,1,5,0,0,0,0,1,1,1,0,2,1,2,1,3,1,5,0,8,2,1,0,1,0,0,0,1,0,1,0,0,2,4,8,1,0,0,1,0,8,1,1,0,1,1,1,0,2,3,2,11,3,1,4,1,2,0,1,2,0,1,0,1,1,1,4,1,0,0,0,6,1,1,0,2,1,1,0,1,0,0,0,0,0,0,1,5,0,3,3,0,7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2,1,1,0,1,0,0,1,0,0,1,0,0,0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,4,0,1,2,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
krupskaya_sovmestnoe_obuchenie.txt_chunk2,krupskaya,9,0,5,0,6,0,0,0,6,29,4,3,2,2,2,0,5,0,1,0,3,1,0,0,0,1,2,0,0,0,0,1,6,3,1,1,0,1,2,2,0,2,0,39,1,5,5,1,4,10,9,0,2,0,0,1,1,0,0,0,0,0,1,1,0,0,4,0,8,2,0,2,15,2,9,18,1,0,0,2,0,0,0,2,2,9,0,5,2,2,0,0,0,0,11,3,2,0,5,1,3,0,2,0,5,0,9,0,0,0,0,1,0,0,2,1,2,1,0,0,1,2,1,0,0,2,0,6,1,1,4,0,0,0,0,1,2,0,14,3,0,2,0,5,5,2,4,0,3,0,0,2,0,0,1,0,3,2,7,1,0,0,0,0,0,0,1,1,1,0,0,1,0,0,1,4,1,0,2,6,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,2,1,0,0,0,0,3,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,3,0,1,0,0,1,3,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
krupskaya_sovmestnoe_obuchenie.txt_chunk3,krupskaya,5,2,0,1,3,0,0,1,3,36,1,4,1,0,3,0,1,1,1,0,3,3,2,1,0,1,3,0,2,0,0,1,4,1,1,3,0,2,3,2,2,3,1,27,0,2,5,1,2,6,7,0,3,2,0,3,0,2,2,0,0,3,1,1,0,2,2,3,5,0,0,0,8,0,3,16,1,2,2,2,0,2,0,0,2,8,0,10,1,1,0,1,0,0,7,2,4,0,3,4,0,0,2,0,2,2,12,0,0,0,1,1,1,0,0,1,0,0,0,1,1,4,0,0,0,1,0,2,5,2,1,2,1,0,0,6,6,0,17,5,2,2,1,2,1,1,2,0,0,7,1,0,0,2,2,1,0,0,3,1,2,1,1,1,2,0,0,0,0,0,0,1,3,1,1,1,0,1,0,2,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,3,2,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,3,0,1,0,0,0,0,2,1,1,0,0,2,0,0,1,1,0,2,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
